stat,mesto,wikistatu,wikimesta,lat,lon,popisek
Alabama,Montgomery,https://cs.wikipedia.org/wiki/Alabama,https://cs.wikipedia.org/wiki/Montgomery,-12.84,18.68,"je hlavní město, druhé nejlidnatější město a čtvrté nejlidnatější město metropolitní oblasti na jihu Spojených států, ve státě Alabama. Je sídlem Montgomery County.[1] Nachází se na jihovýchodě Alabamy. Podle censu z roku 2000 zde žilo 201 568 obyvatel."
Arizona,Phoenix,https://cs.wikipedia.org/wiki/Arizona,https://cs.wikipedia.org/wiki/Phoenix,-8.70,-27.94,"je hlavní město státu Arizona na jihozápadě Spojených států amerických. Jedná se zároveň i o největší město Arizony a sídlo okresu Maricopa County. Město bylo založeno 25. února 1881 a v jazycích indiánů bylo nazvané Hoozdo (doslova horoucí místo) (dle kmene Navajo) a Fiinigis (dle kmene Apačů). Phoenix je pátým největším městem USA. Rozkládá se na 1230,5 km² a žije zde 1 512 986 obyvatel (k roku 2006).[1] Metropolitní oblast Phoenixu je 13. největší v USA, dle odhadů z roku 2006 zde žilo 4 039 182 obyvatel."
Arkansas,Little Rock,https://cs.wikipedia.org/wiki/Arkansas,https://cs.wikipedia.org/wiki/Little Rock,-8.40,7.60,"je hlavní a největší město amerického státu Arkansas. Zároveň je to sídlo okresu Pulaski. V roce 2010 zde žilo téměř 193 524 obyvatel. Metropolitní oblast, zahrnující města a městečka v okolí, má 699 757 obyvatel."
California,Sacramento,https://cs.wikipedia.org/wiki/California,https://cs.wikipedia.org/wiki/Sacramento,05.85,-41.34,"je hlavní město Kalifornie ve Spojených státech amerických. Žije zde 502 743 obyvatel (2007), je to 7. největší město Kalifornie. Hlavním městem Kalifornie je od 1. ledna 1855. Je to sídlo stejnojmenného okresu a zároveň je kulturním a ekonomickým centrem metropolitní oblasti rozkládající se v pěti okresech. Metropolitní oblast má přibližně 2 136 600 obyvatel. Sacramento bylo založeno roku 1839."
Colorado,Denver,https://cs.wikipedia.org/wiki/Colorado,https://cs.wikipedia.org/wiki/Denver,03.10,-13.84,"je hlavní město státu Colorado ve Spojených státech amerických. Rozkládá se na celkové ploše 401,3 km² a má 600 158 obyvatel, což ho činí největším městem státu Colorado a zároveň 27. nejlidnatějším městem USA. Metropolitní oblast Denveru je 17. nejlidnatější v USA a má téměř 3 miliony obyvatel. Město je významným hospodářským centrem oblasti. Tvoří samostatný okres."
Connecticut,Hartford,https://cs.wikipedia.org/wiki/Connecticut,https://cs.wikipedia.org/wiki/Hartford,11.14,38.18,"je hlavní město státu Connecticut v USA. V roce 2010 zde žilo 124 775 obyvatel, v celé metropolitní oblasti však 1 188 241. Městem protéká řeka Connecticut."
Delaware,Dover,https://cs.wikipedia.org/wiki/Delaware,https://cs.wikipedia.org/wiki/Dover,4.40,34.96,je hlavní a druhé největší město v americkém státu Delaware. Leží na řece St. Jones v pobřežní nížině řeky Delaware. Pojmenoval ho William Penn podle města Dover v hrabství Kent v Anglii. V roce 2010 mělo město 36 047 obyvatel.
Florida,Tallahassee,https://cs.wikipedia.org/wiki/Florida,https://cs.wikipedia.org/wiki/Tallahassee,-16.60,22.95,"je hlavní město Floridy. V roce 2008 počet obyvatel dosáhl 171 922 obyvatel, včetně aglomerace přibližně 357 000. Kromě toho, že je to hlavní město státu Florida, je to také okresní město Leon County."
Georgia,Atlanta,https://cs.wikipedia.org/wiki/Georgia,https://cs.wikipedia.org/wiki/Atlanta,-9.43,21.77,"je hlavní a největší město amerického státu Georgie a centrální město deváté největší metropolitní oblasti ve Spojených státech. Je sídlem Fulton County, ale část města zasahuje i do DeKalb County. Podle odhadu z roku 2013 žije ve městě samotném 448 tisíc obyvatel, takže je na 40. místě v USA, avšak metropolitní oblast s více než 5,52 milióny obyvatel je 9. největší v USA a zároveň nejrychleji rostoucí."
Idaho,Boise,https://cs.wikipedia.org/wiki/Idaho,https://cs.wikipedia.org/wiki/Boise,14.14,-30.27,"je hlavní a současně nejlidnatější město amerického státu Idaho, ležící v okrese Ada County. V roce 2010 v něm žilo 205 671 obyvatel[1] (616 561 včetně aglomerace), což z něj dělá největší město v širší oblasti severovýchodu kontinentálních Spojených států."
Illinois,Springfield,https://cs.wikipedia.org/wiki/Illinois,https://cs.wikipedia.org/wiki/Springfield,2.00,12.00,je hlavní město amerického státu Illinois a také sídlem Sangamon County. V roce 2013 zde žilo 117 006 obyvatel. Dříve se město jmenovalo po americkém viceprezidentovi Johnu C. Calhounovi – Calhoun. Mezi významné obyvatele patřil v minulosti americký prezident Abraham Lincoln.
Indiana,Indianapolis,https://cs.wikipedia.org/wiki/Indiana,https://cs.wikipedia.org/wiki/Indianapolis,3.05,17.33,"je hlavní a největší město Indiany, státu USA. Žije zde přibližně 863 tisíc[1] obyvatel, což z Indianapolis dělá 14. největší město USA a po Chicagu a Detroitu třetí největší město středozápadu."
Iowa,Des Moines,https://cs.wikipedia.org/wiki/Iowa,https://cs.wikipedia.org/wiki/Des Moines,6.16,4.89,"je hlavní město amerického státu Iowa. Jeho název je z jazyka peoria, kde slovo mooyiinkweena, označující místní původní obyvatele (také Moingwena, algonkinská skupina), znamená ""ti s pokálenou tváří"" [2] (viz odžibvejské mooyiingwe téhož významu). Toto slovo bylo francouzskými kolonisty zkomoleno na (Des) Moines. V roce 1851 je Des Moines zmiňováno jako Fort Des Moines (tedy Pevnost mnichů) a v roce 1857 byl název zkrácen na Des Moines. Je to také správní město regionu Polk County. Žije zde necelých 200 000 obyvatel."
Kansas,Topeka,https://cs.wikipedia.org/wiki/Kansas,https://cs.wikipedia.org/wiki/Topeka,0.70,1.61,je hlavní město státu Kansas v USA. Město se rozkládá na březích řeky Kansas v okrese Shawnee County.
Kentucky,Frankfort,https://cs.wikipedia.org/wiki/Kentucky,https://cs.wikipedia.org/wiki/Frankfort,-0.09,19.85,je hlavní město amerického státu Kentucky a okresní město Franklin County. Podle sčítání lidu měl v roce 2010 25 527 obyvatel — je to tedy 5. nejméně obydlené hlavní město v USA.
Louisiana,Baton Rouge,https://cs.wikipedia.org/wiki/Louisiana,https://cs.wikipedia.org/wiki/Baton Rouge,-17.74,10.00,"je hlavní město amerického státu Louisiana. Leží v jihovýchodní části státu u řeky Mississippi a je hlavní průmyslové, petrochemické a přístavní město na jihu USA."
Maine,Augusta,https://cs.wikipedia.org/wiki/Maine,https://cs.wikipedia.org/wiki/Augusta,17.61,41.65,"je město ve Spojených státech amerických. Leží na severu země, na řece Kennebec v Nové Anglii. Od roku 1827 je hlavním městem státu Maine, žije zde 18 560 obyvatel (stav k roku 2000). Jde o nejseverovýchodnější hlavní město státu kontinentálních Spojených států amerických."
Maryland,Annapolis,https://cs.wikipedia.org/wiki/Maryland,https://cs.wikipedia.org/wiki/Annapolis,3.80,33.23,"je hlavní město státu Maryland ve Spojených státech amerických a sídlo okresu Anne Arundel County, ležící na břehu zátoky Chesapeake 50 km východně od Washingtonu. Rozkládá se na celkové ploše 19,7 km² a má 36 217 obyvatel (k r. 2004)."
Massachusetts,Boston,https://cs.wikipedia.org/wiki/Massachusetts,https://cs.wikipedia.org/wiki/Boston,13.07,40.18,"je hlavní město amerického státu Massachusetts, největší město Nové Anglie a významný přístav, ležící na východním pobřeží USA. S téměř 7,5 miliony obyvatel jde o pátou největší metropolitní oblast v USA."
Michigan,Lansing,https://cs.wikipedia.org/wiki/Michigan,https://cs.wikipedia.org/wiki/Lansing,9.71,19.17,"je hlavní město státu Michigan ve Spojených státech amerických. Nachází se severozápadně od Detroitu, na řece Grand River. V roce 2010 zde žilo 114 297 obyvatel, v aglomeraci pak 464 036."
Minnesota,Saint Paul,https://cs.wikipedia.org/wiki/Minnesota,https://cs.wikipedia.org/wiki/Saint Paul,13.44,5.50,"je hlavní a druhé nejlidnatější město amerického státu Minnesota. Město leží na severním břehu řeky Mississippi a sousedí s Minneapolisem, největším městem státu. Tato dvě města, neboli oblast Minneapolis-Saint Paul, tvoří s počtem 3,5 milionu obyvatel 16. největší velkoměstskou aglomeraci v USA. Saint Paul slouží jako okresní město Ramsey County, nejmenšímu a nejméně obydlenému okresu v Minnesotě."
Mississippi,Jackson,https://cs.wikipedia.org/wiki/Mississippi,https://cs.wikipedia.org/wiki/Jackson,-13.60,11.65,"je hlavní a zároveň nejlidnatější město amerického státu Mississippi. Je pojmenováno po prezidentovi Andrewu Jacksonovi. Město je situované na řece Pearl. Má rozlohu 276,7 km², z toho 271,7 km² tvoří pevnina a 5 km² (1,8 %) voda."
Missouri,Jefferson City,https://cs.wikipedia.org/wiki/Missouri,https://cs.wikipedia.org/wiki/Jefferson City,-0.20,7.50,"je hlavní město amerického státu Missouri a zároveň okresní město Cole County. Bylo pojmenováno po Thomasovi Jeffersonovi, třetím prezidentu Spojených států amerických. Je orientováno na jižní straně řeky Missouri, blízko geografickému středu státu."
